,inning,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,x,y,z,extras,wicket,wicket_method
114,1,7133,29264,Ricky Ponting,Harbhajan Singh,17.2,1.0,1.0,141.0,125.0,8.0,0.0,,
115,1,5616,29264,Matthew Hayden,Harbhajan Singh,17.3,0.0,0.0,0.0,0.0,0.0,0.0,,
116,1,5616,29264,Matthew Hayden,Harbhajan Singh,17.4,1.0,1.0,213.0,232.0,4.0,0.0,,
117,1,7133,29264,Ricky Ponting,Harbhajan Singh,17.5,0.0,2.0,0.0,0.0,0.0,2.0,,
118,1,7133,29264,Ricky Ponting,Harbhajan Singh,17.6,1.0,1.0,235.0,75.0,1.0,0.0,,
119,1,7133,34105,Ricky Ponting,Javagal Srinath,18.1,0.0,0.0,0.0,0.0,0.0,0.0,,
120,1,7133,34105,Ricky Ponting,Javagal Srinath,18.2,0.0,0.0,0.0,0.0,0.0,0.0,,
121,1,7133,34105,Ricky Ponting,Javagal Srinath,18.3,1.0,2.0,140.0,69.0,8.0,1.0,,
122,1,5616,34105,Matthew Hayden,Javagal Srinath,18.3,1.0,1.0,278.0,196.0,3.0,0.0,,
123,1,7133,34105,Ricky Ponting,Javagal Srinath,18.4,0.0,0.0,0.0,0.0,0.0,0.0,,
124,1,7133,34105,Ricky Ponting,Javagal Srinath,18.5,0.0,0.0,0.0,0.0,0.0,0.0,,
125,1,7133,34105,Ricky Ponting,Javagal Srinath,18.6,0.0,0.0,0.0,0.0,0.0,0.0,,
126,1,5616,29264,Matthew Hayden,Harbhajan Singh,19.1,0.0,0.0,0.0,0.0,0.0,0.0,,
127,1,5616,29264,Matthew Hayden,Harbhajan Singh,19.2,0.0,0.0,0.0,0.0,0.0,0.0,,
128,1,5616,29264,Matthew Hayden,Harbhajan Singh,19.3,1.0,1.0,83.0,103.0,7.0,0.0,,
129,1,7133,29264,Ricky Ponting,Harbhajan Singh,19.4,1.0,1.0,233.0,268.0,4.0,0.0,,
130,1,5616,29264,Matthew Hayden,Harbhajan Singh,19.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,caught
